date,max_score,yuri,andrew,game_number
3/30/2018,21,21,23,1.00
4/6/2018,21,21,19,1.00
4/12/2018,21,21,17,1.00
4/12/2018,21,21,16,2.00
4/27/2018,21,23,21,1.00
4/30/2018,21,12,21,1.00
4/30/2018,21,21,17,2.00
5/1/2018,21,19,21,1.00
5/1/2018,21,19,21,2.00
5/3/2018,21,22,20,2.00
5/3/2018,21,15,21,1.00
5/4/2018,21,20,22,2.00
5/4/2018,21,13,21,1.00
5/10/2018,21,11,21,2.00
5/10/2018,21,20,22,1.00
5/11/2018,21,19,21,2.00
5/11/2018,21,16,21,1.00
5/16/2018,21,13,21,2.00
5/16/2018,21,14,21,1.00
5/17/2018,21,23,22,3.00
5/17/2018,21,17,21,2.00
5/17/2018,21,17,21,1.00
5/18/2018,11,9,11,1.00
5/18/2018,11,11,9,2.00
5/24/2018,11,11,0,4.00
5/24/2018,11,10,12,3.00
5/24/2018,11,11,4,2.00
5/24/2018,11,11,8,1.00
5/25/2018,11,11,8,3.00
5/25/2018,11,11,5,2.00
5/25/2018,11,4,11,1.00
6/4/2018,11,4,11,3.00
6/4/2018,11,6,11,2.00
6/4/2018,11,4,11,1.00
6/8/2018,11,8,11,3.00
6/8/2018,11,11,6,2.00
6/8/2018,11,11,3,1.00
6/12/2018,11,11,3,1.00
6/12/2018,11,8,11,2.00
6/12/2018,11,13,11,3.00
6/14/2018,11,9,11,1.00
6/14/2018,11,13,11,2.00
6/14/2018,11,7,11,3.00
6/21/2018,11,11,6,1.00
6/21/2018,11,13,15,2.00
6/21/2018,11,12,10,3.00
6/22/2018,11,10,12,1.00
6/22/2018,11,11,6,2.00
6/22/2018,11,11,9,3.00
6/26/2018,11,10,12,2.00
6/26/2018,11,12,10,1.00
6/26/2018,11,11,6,3.00
6/29/2018,11,10,12,1.00
6/29/2018,11,12,10,2.00
6/29/2018,11,7,11,3.00
7/3/2018,11,11,3,1.00
7/3/2018,11,10,12,2.00
7/3/2018,11,11,8,3.00
7/10/2018,11,6,11,1.00
7/10/2018,11,8,11,2.00
7/10/2018,11,11,9,3.00
7/13/2018,11,14,12,1.00
7/13/2018,11,11,4,2.00
7/13/2018,11,6,11,3.00
7/16/2018,11,12,14,1.00
7/16/2018,11,9,11,2.00
7/16/2018,11,11,7,3.00
7/23/2018,11,11,6,1.00
7/23/2018,11,11,5,2.00
7/23/2018,11,9,11,3.00
8/3/2018,11,5,11,1.00
8/3/2018,11,11,9,2.00
8/3/2018,11,6,11,3.00
8/6/2018,11,12,10,1.00
8/6/2018,11,5,11,2.00
8/6/2018,11,11,8,3.00
8/7/2018,11,11,3,1.00
8/7/2018,11,7,11,2.00
8/7/2018,11,11,6,3.00
8/10/2018,11,11,7,1.00
8/10/2018,11,11,8,2.00
8/10/2018,11,11,7,3.00
8/13/2018,11,2,11,1.00
8/13/2018,11,11,4,2.00
8/13/2018,11,11,4,3.00
8/14/2018,11,11,7,1.00
8/14/2018,11,6,11,2.00
8/14/2018,11,11,7,3.00
8/20/2018,11,12,14,1.00
8/20/2018,11,5,11,2.00
8/20/2018,11,11,5,3.00
8/23/2018,11,11,9,1.00
8/23/2018,11,10,12,2.00
8/23/2018,11,8,11,3.00
9/4/2018,11,6,11,1.00
9/4/2018,11,11,1,2.00
9/4/2018,11,7,11,3.00
9/5/2018,11,11,7,1.00
9/5/2018,11,14,12,2.00
9/5/2018,11,11,8,3.00
9/7/2018,11,8,11,1.00
9/7/2018,11,20,22,2.00
9/7/2018,11,11,5,3.00
9/10/2018,11,11,9,1.00
9/10/2018,11,11,6,2.00
9/10/2018,11,8,11,3.00
9/11/2018,11,11,6,1.00
9/11/2018,11,7,11,2.00
9/11/2018,11,11,9,3.00
9/14/2018,11,4,11,1.00
9/14/2018,11,7,11,2.00
9/14/2018,11,7,11,3.00
9/21/2018,11,12,10,1.00
9/21/2018,11,4,11,2.00
9/21/2018,11,11,8,3.00
